P64549,K758_00320,mpa_v30_CHOCOPhlAn_201901
P76135,CTY41_23560,mpa_v30_CHOCOPhlAn_201901
P0AF07,motB_2,mpa_v30_CHOCOPhlAn_201901
P77789,fimF_3,mpa_v30_CHOCOPhlAn_201901
P0AFH7,oppC,mpa_v30_CHOCOPhlAn_201901
P76296,yecT,mpa_v30_CHOCOPhlAn_201901
A0A0E1LDD5,B9N12_14240,mpa_v30_CHOCOPhlAn_201901
P75859,AML60_03870,mpa_v30_CHOCOPhlAn_201901
P32704,COD56_15900,mpa_v30_CHOCOPhlAn_201901
P77294,fimG,mpa_v30_CHOCOPhlAn_201901
P77393,PU31_14870,mpa_v30_CHOCOPhlAn_201901
P0ABQ5,COD41_16240,mpa_v30_CHOCOPhlAn_201901
P40876,fimC_1,mpa_v30_CHOCOPhlAn_201901
C6EBU6,ESQG_00710,mpa_v30_CHOCOPhlAn_201901
P26458,cydB,mpa_v30_CHOCOPhlAn_201901
P63202,gadW,mpa_v30_CHOCOPhlAn_201901
P46855,PU39_09885,mpa_v30_CHOCOPhlAn_201901
A0A377AAV3,CDL32_10800,mpa_v30_CHOCOPhlAn_201901
A0A3F3QTB1,AML16_28280,mpa_v30_CHOCOPhlAn_201901
A0A376L0A6,CQA14_19985,mpa_v30_CHOCOPhlAn_201901
P52045,CW278_17595,mpa_v30_CHOCOPhlAn_201901
P0AEK1,CR916_15790,mpa_v30_CHOCOPhlAn_201901
P77183,CDL50_13955,mpa_v30_CHOCOPhlAn_201901
P08371,RW92_04043,mpa_v30_CHOCOPhlAn_201901
P23837,phoQ,mpa_v30_CHOCOPhlAn_201901
Q8XBR9,G770_00628,mpa_v30_CHOCOPhlAn_201901
P0ABR8,antA,mpa_v30_CHOCOPhlAn_201901
P77616,CSC08_0123,mpa_v30_CHOCOPhlAn_201901
P0ADK7,yibA,mpa_v30_CHOCOPhlAn_201901
P76656,CD803_05075,mpa_v30_CHOCOPhlAn_201901
P0A9K7,AUQ29_19530,mpa_v30_CHOCOPhlAn_201901
P69229,G746_02312,mpa_v30_CHOCOPhlAn_201901